,complex_id,stop_name,constituent_station_name
1659,189,Grant Av,Grant Av
1660,190,80 St,80 St
1664,191,88 St,88 St
1666,192,Rockaway Blvd,Rockaway Blvd
1670,193,104 St,104 St
1674,194,111 St,111 St
1678,195,Ozone Park-Lefferts Blvd,Ozone Park-Lefferts Blvd
1683,108,Middle Village-Metropolitan Av,Middle Village-Metropolitan Av
1684,109,Fresh Pond Rd,Fresh Pond Rd
1687,110,Forest Av,Forest Av
1689,111,Seneca Av,Seneca Av
1691,113,Knickerbocker Av,Knickerbocker Av
1693,114,Central Av,Central Av
1695,353,President St-Medgar Evers College,President St-Medgar Evers College
1697,354,Sterling St,Sterling St
1699,355,Winthrop St,Winthrop St
1701,356,Church Av,Church Av
1708,357,Beverly Rd,Beverly Rd
1710,358,Newkirk Av-Little Haiti,Newkirk Av-Little Haiti
1713,359,Flatbush Av-Brooklyn College,Flatbush Av-Brooklyn College
1721,360,Pelham Bay Park,Pelham Bay Park
1726,361,Buhre Av,Buhre Av
1729,362,Middletown Rd,Middletown Rd
1731,363,Westchester Sq-E Tremont Av,Westchester Sq-E Tremont Av
1732,364,Zerega Av,Zerega Av
1734,365,Castle Hill Av,Castle Hill Av
1736,366,Parkchester,Parkchester
1738,367,St Lawrence Av,St Lawrence Av
1740,368,Morrison Av-Soundview,Morrison Av-Soundview
1743,369,Elder Av,Elder Av
1745,370,Whitlock Av,Whitlock Av
1747,371,Hunts Point Av,Hunts Point Av
1751,372,Longwood Av,Longwood Av
1755,373,E 149 St,E 149 St
1761,374,E 143 St-St Mary's St,E 143 St-St Mary's St
1765,375,Cypress Av,Cypress Av
1769,376,Brook Av,Brook Av
1773,377,3 Av-138 St,3 Av-138 St
1780,278,Jamaica Center-Parsons/Archer,Jamaica Center-Parsons/Archer
1787,279,Sutphin Blvd-Archer Av-JFK Airport,Sutphin Blvd-Archer Av-JFK Airport
1793,280,Jamaica-Van Wyck,Jamaica-Van Wyck
1796,254,Jamaica-179 St,Jamaica-179 St
1812,255,169 St,169 St
1820,256,Parsons Blvd,Parsons Blvd
1826,257,Sutphin Blvd,Sutphin Blvd
1831,258,Briarwood,Briarwood
1835,259,Kew Gardens-Union Tpke,Kew Gardens-Union Tpke
1842,260,75 Av,75 Av
1845,261,Forest Hills-71 Av,Forest Hills-71 Av
1851,262,67 Av,67 Av
1855,263,63 Dr-Rego Park,63 Dr-Rego Park
1861,264,Woodhaven Blvd,Woodhaven Blvd
1865,265,Grand Av-Newtown,Grand Av-Newtown
1870,266,Elmhurst Av,Elmhurst Av
1883,268,65 St,65 St
1885,269,Northern Blvd,Northern Blvd
1887,270,46 St,46 St
1891,271,Steinway St,Steinway St
1895,272,36 St,36 St
1900,273,Queens Plaza,Queens Plaza
